order_item_id,created_at,order_id,product_id,is_primary_item,price_usd,cogs_usd
1,2012-03-19 10:42:46,1,1,1,49.99,19.49
2,2012-03-19 19:27:37,2,1,1,49.99,19.49
3,2012-03-20 06:44:45,3,1,1,49.99,19.49
4,2012-03-20 09:41:45,4,1,1,49.99,19.49
5,2012-03-20 11:28:15,5,1,1,49.99,19.49
6,2012-03-20 16:12:47,6,1,1,49.99,19.49
7,2012-03-20 17:03:41,7,1,1,49.99,19.49
8,2012-03-20 23:35:27,8,1,1,49.99,19.49
9,2012-03-21 02:35:01,9,1,1,49.99,19.49
10,2012-03-21 06:45:58,10,1,1,49.99,19.49
11,2012-03-21 07:28:02,11,1,1,49.99,19.49
12,2012-03-21 08:21:33,12,1,1,49.99,19.49
13,2012-03-21 08:45:32,13,1,1,49.99,19.49
14,2012-03-21 09:12:05,14,1,1,49.99,19.49
15,2012-03-21 16:40:06,15,1,1,49.99,19.49
16,2012-03-21 17:13:05,16,1,1,49.99,19.49
17,2012-03-21 20:28:11,17,1,1,49.99,19.49
18,2012-03-22 06:15:33,18,1,1,49.99,19.49
19,2012-03-22 10:03:49,19,1,1,49.99,19.49
20,2012-03-22 17:49:57,20,1,1,49.99,19.49
21,2012-03-22 20:33:40,21,1,1,49.99,19.49
22,2012-03-23 12:09:46,22,1,1,49.99,19.49
23,2012-03-23 14:16:23,23,1,1,49.99,19.49
24,2012-03-23 17:14:48,24,1,1,49.99,19.49
25,2012-03-24 09:21:40,25,1,1,49.99,19.49
26,2012-03-25 08:32:41,26,1,1,49.99,19.49
27,2012-03-25 08:51:27,27,1,1,49.99,19.49
28,2012-03-25 16:00:12,28,1,1,49.99,19.49
29,2012-03-25 21:23:16,29,1,1,49.99,19.49
30,2012-03-26 10:03:39,30,1,1,49.99,19.49
31,2012-03-26 10:25:44,31,1,1,49.99,19.49
32,2012-03-26 14:13:56,32,1,1,49.99,19.49
33,2012-03-26 16:00:19,33,1,1,49.99,19.49
34,2012-03-26 17:55:25,34,1,1,49.99,19.49
35,2012-03-26 18:06:39,35,1,1,49.99,19.49
36,2012-03-26 18:54:41,36,1,1,49.99,19.49
37,2012-03-26 19:19:25,37,1,1,49.99,19.49
38,2012-03-26 21:13:07,38,1,1,49.99,19.49
39,2012-03-27 15:18:43,39,1,1,49.99,19.49
40,2012-03-27 16:53:30,40,1,1,49.99,19.49
41,2012-03-28 08:30:06,41,1,1,49.99,19.49
42,2012-03-28 09:56:58,42,1,1,49.99,19.49
43,2012-03-28 16:55:52,43,1,1,49.99,19.49
44,2012-03-28 21:24:10,44,1,1,49.99,19.49
45,2012-03-28 22:45:52,45,1,1,49.99,19.49
46,2012-03-29 16:11:05,46,1,1,49.99,19.49
47,2012-03-29 17:49:07,47,1,1,49.99,19.49
48,2012-03-29 23:09:30,48,1,1,49.99,19.49
49,2012-03-30 00:25:18,49,1,1,49.99,19.49
50,2012-03-30 02:27:35,50,1,1,49.99,19.49
51,2012-03-30 10:06:25,51,1,1,49.99,19.49
52,2012-03-30 10:24:06,52,1,1,49.99,19.49
53,2012-03-30 12:47:30,53,1,1,49.99,19.49
54,2012-03-30 14:26:49,54,1,1,49.99,19.49
55,2012-03-30 14:39:09,55,1,1,49.99,19.49
56,2012-03-31 00:22:18,56,1,1,49.99,19.49
57,2012-03-31 02:32:43,57,1,1,49.99,19.49
58,2012-03-31 06:40:10,58,1,1,49.99,19.49
59,2012-03-31 10:25:39,59,1,1,49.99,19.49
60,2012-03-31 19:24:33,60,1,1,49.99,19.49
61,2012-04-01 06:45:11,61,1,1,49.99,19.49
62,2012-04-01 12:38:27,62,1,1,49.99,19.49
63,2012-04-01 17:33:26,63,1,1,49.99,19.49
64,2012-04-01 18:26:19,64,1,1,49.99,19.49
65,2012-04-02 11:07:48,65,1,1,49.99,19.49
66,2012-04-02 16:32:15,66,1,1,49.99,19.49
67,2012-04-02 17:17:42,67,1,1,49.99,19.49
68,2012-04-02 18:36:27,68,1,1,49.99,19.49
69,2012-04-03 10:29:20,69,1,1,49.99,19.49
70,2012-04-03 11:53:36,70,1,1,49.99,19.49
71,2012-04-03 15:03:48,71,1,1,49.99,19.49
72,2012-04-03 16:31:50,72,1,1,49.99,19.49
73,2012-04-03 16:36:02,73,1,1,49.99,19.49
74,2012-04-03 19:09:43,74,1,1,49.99,19.49
75,2012-04-04 07:47:38,75,1,1,49.99,19.49
76,2012-04-04 11:13:55,76,1,1,49.99,19.49
77,2012-04-04 11:34:52,77,1,1,49.99,19.49
78,2012-04-04 18:21:44,78,1,1,49.99,19.49
79,2012-04-04 19:00:06,79,1,1,49.99,19.49
80,2012-04-05 10:34:00,80,1,1,49.99,19.49
81,2012-04-05 13:15:34,81,1,1,49.99,19.49
82,2012-04-05 20:11:27,82,1,1,49.99,19.49
83,2012-04-06 04:04:23,83,1,1,49.99,19.49
84,2012-04-06 12:16:39,84,1,1,49.99,19.49
85,2012-04-06 17:13:09,85,1,1,49.99,19.49
86,2012-04-06 22:48:48,86,1,1,49.99,19.49
87,2012-04-07 04:47:20,87,1,1,49.99,19.49
88,2012-04-07 16:15:03,88,1,1,49.99,19.49
89,2012-04-07 16:55:38,89,1,1,49.99,19.49
90,2012-04-08 02:25:16,90,1,1,49.99,19.49
91,2012-04-08 05:52:53,91,1,1,49.99,19.49
92,2012-04-08 20:50:48,92,1,1,49.99,19.49
93,2012-04-08 21:10:18,93,1,1,49.99,19.49
94,2012-04-08 22:33:08,94,1,1,49.99,19.49
95,2012-04-09 09:49:50,95,1,1,49.99,19.49
96,2012-04-09 09:50:14,96,1,1,49.99,19.49
97,2012-04-09 11:25:30,97,1,1,49.99,19.49
98,2012-04-09 15:01:23,98,1,1,49.99,19.49
99,2012-04-09 19:48:47,99,1,1,49.99,19.49
100,2012-04-09 20:28:57,100,1,1,49.99,19.49
101,2012-04-09 22:56:37,101,1,1,49.99,19.49
102,2012-04-09 23:25:30,102,1,1,49.99,19.49
103,2012-04-10 14:21:17,103,1,1,49.99,19.49
104,2012-04-10 16:40:18,104,1,1,49.99,19.49
105,2012-04-10 22:27:09,105,1,1,49.99,19.49
106,2012-04-11 14:13:17,106,1,1,49.99,19.49
107,2012-04-11 15:22:47,107,1,1,49.99,19.49
108,2012-04-11 16:38:56,108,1,1,49.99,19.49
109,2012-04-11 20:19:28,109,1,1,49.99,19.49
110,2012-04-11 21:59:27,110,1,1,49.99,19.49
111,2012-04-12 10:03:06,111,1,1,49.99,19.49
112,2012-04-12 10:51:25,112,1,1,49.99,19.49
113,2012-04-12 13:30:14,113,1,1,49.99,19.49
114,2012-04-12 15:50:47,114,1,1,49.99,19.49
115,2012-04-13 02:13:16,115,1,1,49.99,19.49
116,2012-04-13 14:53:49,116,1,1,49.99,19.49
117,2012-04-14 23:26:48,117,1,1,49.99,19.49
118,2012-04-15 09:00:37,118,1,1,49.99,19.49
119,2012-04-15 13:20:39,119,1,1,49.99,19.49
120,2012-04-15 15:10:58,120,1,1,49.99,19.49
121,2012-04-15 16:36:31,121,1,1,49.99,19.49
122,2012-04-16 13:22:52,122,1,1,49.99,19.49
123,2012-04-16 14:54:24,123,1,1,49.99,19.49
124,2012-04-16 15:03:23,124,1,1,49.99,19.49
125,2012-04-16 17:59:57,125,1,1,49.99,19.49
126,2012-04-16 19:33:33,126,1,1,49.99,19.49
127,2012-04-17 19:20:42,127,1,1,49.99,19.49
128,2012-04-18 10:28:38,128,1,1,49.99,19.49
129,2012-04-18 12:10:33,129,1,1,49.99,19.49
130,2012-04-18 18:51:07,130,1,1,49.99,19.49
131,2012-04-18 19:59:44,131,1,1,49.99,19.49
132,2012-04-19 07:42:08,132,1,1,49.99,19.49
133,2012-04-19 13:21:03,133,1,1,49.99,19.49
134,2012-04-19 14:19:40,134,1,1,49.99,19.49
135,2012-04-19 14:20:15,135,1,1,49.99,19.49
136,2012-04-19 19:02:48,136,1,1,49.99,19.49
137,2012-04-19 21:50:45,137,1,1,49.99,19.49
138,2012-04-20 14:02:15,138,1,1,49.99,19.49
139,2012-04-21 17:39:59,139,1,1,49.99,19.49
140,2012-04-22 11:01:02,140,1,1,49.99,19.49
141,2012-04-22 16:58:22,141,1,1,49.99,19.49
142,2012-04-22 21:22:31,142,1,1,49.99,19.49
143,2012-04-23 11:07:52,143,1,1,49.99,19.49
144,2012-04-23 11:27:53,144,1,1,49.99,19.49
145,2012-04-23 12:31:17,145,1,1,49.99,19.49
146,2012-04-23 17:12:15,146,1,1,49.99,19.49
147,2012-04-23 20:59:07,147,1,1,49.99,19.49
148,2012-04-23 22:39:58,148,1,1,49.99,19.49
149,2012-04-23 22:57:17,149,1,1,49.99,19.49
150,2012-04-24 19:22:17,150,1,1,49.99,19.49
151,2012-04-24 23:13:26,151,1,1,49.99,19.49
152,2012-04-25 21:05:32,152,1,1,49.99,19.49
153,2012-04-26 15:35:59,153,1,1,49.99,19.49
154,2012-04-26 17:43:19,154,1,1,49.99,19.49
155,2012-04-26 22:22:55,155,1,1,49.99,19.49
156,2012-04-27 01:22:32,156,1,1,49.99,19.49
157,2012-04-27 19:42:18,157,1,1,49.99,19.49
158,2012-04-29 16:58:56,158,1,1,49.99,19.49
159,2012-04-30 12:14:59,159,1,1,49.99,19.49
160,2012-05-01 03:50:09,160,1,1,49.99,19.49
161,2012-05-01 10:34:08,161,1,1,49.99,19.49
162,2012-05-01 11:20:19,162,1,1,49.99,19.49
163,2012-05-01 12:10:41,163,1,1,49.99,19.49
164,2012-05-01 16:25:31,164,1,1,49.99,19.49
165,2012-05-02 11:50:21,165,1,1,49.99,19.49
166,2012-05-02 12:56:44,166,1,1,49.99,19.49
167,2012-05-02 17:15:10,167,1,1,49.99,19.49
168,2012-05-02 17:24:00,168,1,1,49.99,19.49
169,2012-05-03 09:03:53,169,1,1,49.99,19.49
170,2012-05-03 09:40:22,170,1,1,49.99,19.49
171,2012-05-03 15:19:38,171,1,1,49.99,19.49
172,2012-05-03 16:24:32,172,1,1,49.99,19.49
173,2012-05-03 23:52:58,173,1,1,49.99,19.49
174,2012-05-04 05:22:36,174,1,1,49.99,19.49
175,2012-05-04 10:24:35,175,1,1,49.99,19.49
176,2012-05-04 16:56:05,176,1,1,49.99,19.49
177,2012-05-08 15:59:05,177,1,1,49.99,19.49
178,2012-05-08 16:18:21,178,1,1,49.99,19.49
179,2012-05-09 01:00:09,179,1,1,49.99,19.49
180,2012-05-09 01:40:07,180,1,1,49.99,19.49
181,2012-05-09 09:04:41,181,1,1,49.99,19.49
182,2012-05-09 10:16:50,182,1,1,49.99,19.49
183,2012-05-09 13:36:25,183,1,1,49.99,19.49
184,2012-05-09 14:59:36,184,1,1,49.99,19.49
185,2012-05-09 17:01:21,185,1,1,49.99,19.49
186,2012-05-09 17:41:14,186,1,1,49.99,19.49
187,2012-05-10 09:54:16,187,1,1,49.99,19.49
188,2012-05-10 18:45:17,188,1,1,49.99,19.49
189,2012-05-10 21:29:58,189,1,1,49.99,19.49
190,2012-05-11 11:10:14,190,1,1,49.99,19.49
191,2012-05-11 15:06:01,191,1,1,49.99,19.49
192,2012-05-11 21:20:08,192,1,1,49.99,19.49
193,2012-05-12 20:44:15,193,1,1,49.99,19.49
194,2012-05-13 08:21:23,194,1,1,49.99,19.49
195,2012-05-13 15:56:25,195,1,1,49.99,19.49
196,2012-05-13 17:04:33,196,1,1,49.99,19.49
197,2012-05-14 18:33:40,197,1,1,49.99,19.49
198,2012-05-14 18:51:18,198,1,1,49.99,19.49
