order_id,created_at,website_session_id,user_id,primary_product_id,items_purchased,price_usd,cogs_usd
1,2012-03-19 10:42:46,20,20,1,1,49.99,19.49
2,2012-03-19 19:27:37,104,104,1,1,49.99,19.49
3,2012-03-20 06:44:45,147,147,1,1,49.99,19.49
4,2012-03-20 09:41:45,160,160,1,1,49.99,19.49
5,2012-03-20 11:28:15,177,177,1,1,49.99,19.49
6,2012-03-20 16:12:47,232,232,1,1,49.99,19.49
7,2012-03-20 17:03:41,241,241,1,1,49.99,19.49
8,2012-03-20 23:35:27,295,295,1,1,49.99,19.49
9,2012-03-21 02:35:01,304,304,1,1,49.99,19.49
10,2012-03-21 06:45:58,317,317,1,1,49.99,19.49
11,2012-03-21 07:28:02,321,321,1,1,49.99,19.49
12,2012-03-21 08:21:33,327,327,1,1,49.99,19.49
13,2012-03-21 08:45:32,332,332,1,1,49.99,19.49
14,2012-03-21 09:12:05,336,336,1,1,49.99,19.49
15,2012-03-21 16:40:06,428,428,1,1,49.99,19.49
16,2012-03-21 17:13:05,434,434,1,1,49.99,19.49
17,2012-03-21 20:28:11,465,465,1,1,49.99,19.49
18,2012-03-22 06:15:33,507,507,1,1,49.99,19.49
19,2012-03-22 10:03:49,536,536,1,1,49.99,19.49
20,2012-03-22 17:49:57,615,615,1,1,49.99,19.49
21,2012-03-22 20:33:40,639,639,1,1,49.99,19.49
22,2012-03-23 12:09:46,732,732,1,1,49.99,19.49
23,2012-03-23 14:16:23,750,750,1,1,49.99,19.49
24,2012-03-23 17:14:48,783,783,1,1,49.99,19.49
25,2012-03-24 09:21:40,844,844,1,1,49.99,19.49
26,2012-03-25 08:32:41,908,908,1,1,49.99,19.49
27,2012-03-25 08:51:27,909,909,1,1,49.99,19.49
28,2012-03-25 16:00:12,940,940,1,1,49.99,19.49
29,2012-03-25 21:23:16,954,954,1,1,49.99,19.49
30,2012-03-26 10:03:39,1018,1016,1,1,49.99,19.49
31,2012-03-26 10:25:44,1023,1021,1,1,49.99,19.49
32,2012-03-26 14:13:56,1059,1055,1,1,49.99,19.49
33,2012-03-26 16:00:19,1081,1077,1,1,49.99,19.49
34,2012-03-26 17:55:25,1094,1090,1,1,49.99,19.49
35,2012-03-26 18:06:39,1098,1094,1,1,49.99,19.49
36,2012-03-26 18:54:41,1105,1101,1,1,49.99,19.49
37,2012-03-26 19:19:25,1107,1103,1,1,49.99,19.49
38,2012-03-26 21:13:07,1125,1121,1,1,49.99,19.49
39,2012-03-27 15:18:43,1243,1238,1,1,49.99,19.49
40,2012-03-27 16:53:30,1256,1251,1,1,49.99,19.49
41,2012-03-28 08:30:06,1330,1325,1,1,49.99,19.49
42,2012-03-28 09:56:58,1343,1337,1,1,49.99,19.49
43,2012-03-28 16:55:52,1419,1412,1,1,49.99,19.49
44,2012-03-28 21:24:10,1454,1447,1,1,49.99,19.49
45,2012-03-28 22:45:52,1463,1456,1,1,49.99,19.49
46,2012-03-29 16:11:05,1581,1574,1,1,49.99,19.49
47,2012-03-29 17:49:07,1605,1598,1,1,49.99,19.49
48,2012-03-29 23:09:30,1643,1635,1,1,49.99,19.49
49,2012-03-30 00:25:18,1646,1638,1,1,49.99,19.49
50,2012-03-30 02:27:35,1654,1646,1,1,49.99,19.49
51,2012-03-30 10:06:25,1685,1677,1,1,49.99,19.49
52,2012-03-30 10:24:06,1691,1683,1,1,49.99,19.49
53,2012-03-30 12:47:30,1709,1701,1,1,49.99,19.49
54,2012-03-30 14:26:49,1726,1718,1,1,49.99,19.49
55,2012-03-30 14:39:09,1729,1721,1,1,49.99,19.49
56,2012-03-31 00:22:18,1790,1782,1,1,49.99,19.49
57,2012-03-31 02:32:43,1802,1794,1,1,49.99,19.49
58,2012-03-31 06:40:10,1807,1799,1,1,49.99,19.49
